,,,,,"TR = 30",,,"TR = 50",,,"TR = 72",,,"TR = 101",,,"TR = 140",,,"TR = 201",,,"TR = 475",,,"TR = 975",,,"TR = 2475",
"OBJECTID","ID","LON","LAT","T30ag","T30F0","T30Tc","T50ag","T50F0","T50Tc","T72ag","T72F0","T72Tc","T101ag","T101F0","T101Tc","T140ag","T140F0","T140Tc","T201ag","T201F0","T201Tc","T475ag","T475F0","T475Tc","T975ag","T975F0","T975Tc","T2475ag","T2475F0","T2475Tc"
1152,11586,8.565405,45.58474,0.14221,2.5579,0.16012,0.17829,2.5234,0.16947,0.2051,2.5856,0.17354,0.23521,2.5731,0.2136,0.26424,2.583,0.22532,0.29641,2.5917,0.23954,0.37273,2.6065,0.27861,0.44539,2.6316,0.30254,0.54771,2.7471,0.32388
1153,7813,8.566184,46.43619,0.17161,2.5758,0.14884,0.22868,2.5198,0.18005,0.2735,2.519,0.19759,0.3156,2.5458,0.21455,0.35618,2.566,0.2283,0.40553,2.5559,0.25448,0.55941,2.5624,0.28053,0.70565,2.5892,0.29811,0.92735,2.6708,0.31822
1154,15581,8.568752,44.68336,0.19015,2.5572,0.16086,0.25487,2.5485,0.19477,0.3034,2.5162,0.21262,0.34879,2.5353,0.22759,0.39264,2.5499,0.25131,0.46497,2.4747,0.27283,0.66529,2.491,0.28009,0.89867,2.4709,0.28288,1.2942,2.4728,0.28383
1155,11808,8.569554,45.53482,0.14252,2.5412,0.16076,0.17853,2.5098,0.16996,0.2054,2.5726,0.17468,0.2354,2.5596,0.21446,0.26439,2.5694,0.22576,0.29651,2.578,0.23924,0.37271,2.5925,0.27423,0.44282,2.6314,0.29556,0.543,2.7333,0.32239
1156,8035,8.570401,46.38628,0.17509,2.5704,0.14896,0.23388,2.5063,0.18094,0.2794,2.5145,0.1988,0.32197,2.5421,0.21601,0.3631,2.5624,0.22943,0.41492,2.5459,0.25554,0.57097,2.56,0.28434,0.72273,2.5852,0.29756,0.95108,2.663,0.31812
1157,15803,8.572785,44.63345,0.19123,2.5623,0.16046,0.25505,2.5504,0.19453,0.3025,2.5199,0.21244,0.34688,2.5378,0.22735,0.38976,2.5525,0.25081,0.45718,2.4841,0.27387,0.6416,2.5138,0.28214,0.85272,2.4998,0.28725,1.2111,2.4822,0.29088
1158,12030,8.573678,45.48491,0.14337,2.5291,0.16118,0.17945,2.4998,0.17023,0.2066,2.561,0.17566,0.23669,2.5486,0.21487,0.26576,2.5577,0.2258,0.29796,2.5659,0.23911,0.37055,2.6061,0.27597,0.43907,2.6467,0.29545,0.53826,2.7285,0.32479
1159,8257,8.57464,46.33636,0.17709,2.5655,0.14913,0.23626,2.5025,0.18134,0.2816,2.5135,0.19992,0.32401,2.5414,0.21689,0.36498,2.5618,0.23018,0.41739,2.5427,0.2562,0.57208,2.563,0.28465,0.72077,2.593,0.29815,0.94459,2.6742,0.31954
1160,16025,8.576862,44.58353,0.19165,2.5676,0.15996,0.25355,2.5556,0.19369,0.2993,2.5247,0.21168,0.34222,2.5419,0.22664,0.38362,2.5572,0.2496,0.4435,2.5096,0.27328,0.60548,2.5514,0.28631,0.78713,2.5429,0.2934,1.0945,2.5054,0.30872
1161,12252,8.577869,45.43499,0.14464,2.5231,0.16144,0.18091,2.495,0.17028,0.2085,2.5535,0.17627,0.23881,2.5431,0.21463,0.26804,2.5516,0.2261,0.29918,2.5699,0.23919,0.36989,2.6233,0.28037,0.43741,2.657,0.30217,0.53575,2.746,0.33219
1162,8479,8.578763,46.28645,0.17763,2.5613,0.14936,0.23604,2.5076,0.18126,0.2806,2.5146,0.20048,0.32229,2.5427,0.21737,0.36256,2.5635,0.23066,0.41391,2.5467,0.25648,0.56457,2.5683,0.28406,0.70448,2.6086,0.29938,0.91597,2.7014,0.32168
1163,16247,8.580937,44.53361,0.19156,2.5727,0.15942,0.25118,2.562,0.19233,0.2952,2.5315,0.21023,0.33643,2.5485,0.22541,0.37624,2.5637,0.24805,0.42883,2.5375,0.27294,0.57713,2.5629,0.2907,0.73288,2.5638,0.30787,0.97766,2.6093,0.32044
1164,12474,8.581899,45.38507,0.14641,2.519,0.16153,0.18298,2.4929,0.17012,0.2113,2.5468,0.17667,0.24181,2.5418,0.21427,0.27125,2.5506,0.22666,0.30089,2.5837,0.23942,0.37113,2.6412,0.28051,0.43858,2.6805,0.30661,0.53645,2.7702,0.33531
1165,8701,8.582929,46.23653,0.17657,2.5581,0.14967,0.23317,2.5222,0.18077,0.2765,2.5176,0.20072,0.31701,2.546,0.21744,0.35711,2.5601,0.23134,0.40503,2.5567,0.25639,0.54842,2.5814,0.28088,0.67774,2.635,0.30104,0.87218,2.7387,0.32292
1166,16469,8.584942,44.48369,0.19115,2.5773,0.15888,0.24868,2.5405,0.19965,0.2912,2.5405,0.20829,0.33099,2.5549,0.22377,0.36943,2.5702,0.24649,0.41651,2.5607,0.27265,0.55541,2.5774,0.29374,0.68394,2.6434,0.31477,0.88069,2.7473,0.32958
1167,12696,8.586018,45.33516,0.14877,2.5141,0.16146,0.18576,2.4916,0.16973,0.2151,2.5392,0.17714,0.24586,2.5429,0.21397,0.27484,2.5599,0.22729,0.30451,2.5956,0.23977,0.37492,2.6551,0.28953,0.44364,2.7033,0.31023,0.54182,2.7981,0.33597
1168,8923,8.587069,46.18662,0.17413,2.5574,0.15027,0.22817,2.5451,0.18002,0.2699,2.5314,0.20023,0.30907,2.5508,0.21718,0.34904,2.5554,0.23163,0.39416,2.5708,0.25508,0.52795,2.6017,0.27953,0.64572,2.658,0.30271,0.82167,2.784,0.32279
1169,16691,8.589013,44.43377,0.1906,2.5806,0.1584,0.24657,2.546,0.19859,0.288,2.5473,0.20676,0.32683,2.5596,0.22224,0.3643,2.5755,0.24517,0.40789,2.5767,0.27184,0.53734,2.6065,0.29652,0.65177,2.7104,0.31959,0.82169,2.8536,0.33772
1170,12918,8.590134,45.28524,0.15164,2.51,0.16146,0.18924,2.4917,0.16912,0.2199,2.5328,0.17747,0.25104,2.5462,0.21367,0.28031,2.566,0.22677,0.31039,2.6032,0.2392,0.38177,2.6653,0.28907,0.45354,2.7135,0.30843,0.55316,2.8229,0.33333
1171,9145,8.591323,46.1367,0.17081,2.5588,0.15109,0.22186,2.5528,0.18068,0.2621,2.5494,0.19916,0.30052,2.5503,0.21677,0.33971,2.5592,0.23053,0.38312,2.5801,0.25285,0.5064,2.6098,0.27997,0.61358,2.6839,0.30368,0.77639,2.814,0.32231
1172,16913,8.593105,44.38385,0.19002,2.5826,0.15798,0.24511,2.5488,0.18678,0.286,2.5504,0.20553,0.32437,2.5615,0.22106,0.36137,2.5779,0.24413,0.40322,2.5871,0.2719,0.52775,2.6261,0.29884,0.63744,2.7464,0.3236,0.79918,2.8878,0.34271
1173,13140,8.594225,45.23532,0.1549,2.5084,0.16147,0.19334,2.4939,0.19102,0.2256,2.5329,0.17727,0.2574,2.5517,0.21336,0.28772,2.5692,0.22626,0.31857,2.607,0.23807,0.39179,2.6718,0.28735,0.46855,2.7198,0.30572,0.57097,2.8372,0.3288
1174,9367,8.595482,46.08678,0.1669,2.5624,0.15206,0.21489,2.5512,0.18225,0.2537,2.5685,0.19764,0.29231,2.5472,0.21545,0.33003,2.5667,0.229,0.37183,2.5814,0.24103,0.48523,2.62,0.28082,0.58598,2.7044,0.30346,0.73741,2.8235,0.3225
1175,17135,8.597104,44.33394,0.18943,2.5835,0.1576,0.24438,2.5483,0.1863,0.2853,2.5492,0.20472,0.32373,2.5595,0.22039,0.36036,2.5795,0.24374,0.40087,2.5979,0.27171,0.52584,2.6332,0.30265,0.63768,2.7555,0.32579,0.80512,2.8721,0.34661
1176,13362,8.598338,45.18541,0.1585,2.5099,0.16147,0.19805,2.4984,0.19153,0.2324,2.5379,0.20168,0.26502,2.5591,0.21337,0.29651,2.5751,0.22579,0.32904,2.6078,0.23717,0.40639,2.6635,0.28627,0.48881,2.732,0.30198,0.59549,2.8482,0.32355
1177,9589,8.599617,46.03686,0.16252,2.5677,0.15311,0.20761,2.5539,0.18308,0.2463,2.5639,0.19628,0.28397,2.5547,0.21353,0.31986,2.5746,0.22676,0.35894,2.5971,0.2391,0.46436,2.636,0.2801,0.56125,2.7176,0.303,0.70103,2.8272,0.32322
1178,17357,8.601101,44.28402,0.18884,2.5731,0.15784,0.24336,2.5469,0.18647,0.2841,2.5534,0.20466,0.32231,2.5674,0.22041,0.35917,2.5864,0.24387,0.40001,2.6025,0.27278,0.53021,2.6304,0.30447,0.6497,2.7359,0.32807,0.83403,2.8174,0.34934
1179,13584,8.602471,45.13549,0.16253,2.5136,0.16132,0.20426,2.4934,0.19208,0.2403,2.5445,0.20187,0.27406,2.567,0.2138,0.30665,2.5839,0.22544,0.34185,2.6058,0.2365,0.42775,2.6527,0.2833,0.51479,2.7209,0.30035,0.63288,2.8319,0.31889
1180,9811,8.603818,45.98695,0.15803,2.5739,0.15404,0.20062,2.5608,0.1624,0.2387,2.5193,0.19216,0.27398,2.5844,0.21017,0.30801,2.6017,0.22418,0.34571,2.6247,0.23676,0.44363,2.6407,0.28176,0.53674,2.722,0.30257,0.66606,2.8366,0.32265
1181,13806,8.606511,45.08557,0.16707,2.5165,0.16102,0.21184,2.49,0.19181,0.2494,2.5507,0.20285,0.28461,2.5676,0.21473,0.31859,2.583,0.22609,0.35623,2.5991,0.23685,0.45408,2.6336,0.28068,0.54738,2.6932,0.29644,0.68406,2.7835,0.31548
1182,10033,8.607903,45.93703,0.15372,2.5799,0.15562,0.19475,2.5606,0.16411,0.2298,2.5389,0.19238,0.26377,2.6051,0.20778,0.2966,2.6215,0.22274,0.33297,2.6358,0.2365,0.42381,2.6468,0.28434,0.5132,2.7327,0.30262,0.63304,2.8622,0.32321
1183,14028,8.610618,45.03565,0.17194,2.5204,0.16078,0.22023,2.492,0.19095,0.2597,2.5547,0.20385,0.29664,2.5544,0.21669,0.33232,2.5726,0.22785,0.37185,2.5888,0.247,0.48627,2.5976,0.27864,0.5879,2.6544,0.29514,0.75223,2.713,0.31118
1184,10255,8.612033,45.88712,0.1511,2.5641,0.15811,0.19022,2.5515,0.16581,0.2223,2.5347,0.19352,0.25476,2.6133,0.20675,0.28637,2.6316,0.222,0.32157,2.6462,0.23563,0.40627,2.6629,0.28375,0.49233,2.7384,0.30216,0.60421,2.8857,0.32439
1185,14250,8.614655,44.98573,0.17696,2.5234,0.16069,0.22925,2.4989,0.1896,0.2709,2.5473,0.2057,0.30995,2.5432,0.21924,0.34763,2.5614,0.23067,0.38938,2.5776,0.25089,0.52017,2.58,0.27807,0.64346,2.6046,0.29251,0.84524,2.6184,0.30547
1186,10477,8.616181,45.8372,0.14862,2.5693,0.15893,0.1862,2.5509,0.16705,0.2165,2.5243,0.19542,0.24828,2.6047,0.20764,0.27896,2.6247,0.22163,0.31296,2.6423,0.23548,0.39363,2.6719,0.27733,0.47561,2.734,0.30494,0.58364,2.8846,0.32724
1187,14472,8.618711,44.93582,0.18184,2.5266,0.16079,0.23859,2.5283,0.19493,0.2827,2.5276,0.20862,0.32412,2.5329,0.22265,0.36406,2.5511,0.23418,0.41175,2.5486,0.2583,0.56023,2.5664,0.27798,0.71444,2.5682,0.28747,0.96873,2.5658,0.29393
1188,10699,8.620284,45.78728,0.14588,2.5887,0.1584,0.18286,2.5559,0.16738,0.2118,2.5209,0.19632,0.24297,2.5995,0.20823,0.27309,2.6124,0.22249,0.30647,2.6289,0.23674,0.38567,2.6566,0.27805,0.46395,2.7157,0.30751,0.56947,2.8576,0.32901
1189,14694,8.622745,44.8859,0.18639,2.5306,0.16104,0.24786,2.5315,0.19613,0.2946,2.5089,0.21149,0.33845,2.525,0.22611,0.38075,2.5429,0.24587,0.44078,2.5019,0.26245,0.60691,2.5538,0.27741,0.79629,2.5463,0.28073,1.1248,2.4954,0.28934
1190,10921,8.624407,45.73736,0.14378,2.5882,0.15825,0.18038,2.5513,0.16756,0.2083,2.5195,0.19724,0.23905,2.5974,0.20934,0.26875,2.6067,0.223,0.30165,2.615,0.23813,0.37972,2.634,0.27974,0.45543,2.6879,0.30782,0.55935,2.8262,0.33079
1191,14916,8.62673,44.83599,0.19045,2.5354,0.16133,0.2565,2.5298,0.19736,0.3057,2.504,0.21414,0.35177,2.526,0.22761,0.39626,2.5422,0.24985,0.47002,2.4752,0.26881,0.66912,2.4958,0.2764,0.89806,2.4804,0.27786,1.2831,2.4757,0.28206
1192,11143,8.628505,45.68744,0.14242,2.5835,0.1583,0.17875,2.545,0.16786,0.206,2.5151,0.19838,0.23644,2.5926,0.21086,0.26582,2.6019,0.22383,0.29837,2.6101,0.23849,0.37561,2.624,0.27959,0.4497,2.6612,0.29719,0.55285,2.7754,0.31782
1193,15138,8.630781,44.78607,0.19387,2.5404,0.16154,0.26371,2.52,0.19889,0.3147,2.5064,0.21584,0.3625,2.5271,0.22874,0.41366,2.5143,0.25226,0.49461,2.4741,0.2666,0.72058,2.4676,0.27504,0.97898,2.447,0.27825,1.4067,2.4631,0.27998
1194,11365,8.632511,45.63753,0.14192,2.5722,0.15908,0.17805,2.5352,0.16856,0.2049,2.5073,0.19954,0.23511,2.5852,0.21225,0.26426,2.5949,0.22437,0.29655,2.6034,0.23887,0.37317,2.6178,0.27848,0.44627,2.6465,0.30228,0.54907,2.7664,0.32411
1195,15360,8.634831,44.73615,0.19652,2.5451,0.16153,0.26865,2.5144,0.19981,0.3205,2.5088,0.21695,0.36906,2.5286,0.22989,0.42561,2.4959,0.25328,0.50906,2.4741,0.26575,0.74886,2.4528,0.27495,1.024,2.4369,0.27773,1.4724,2.4544,0.27998
1196,11587,8.636651,45.58761,0.14229,2.5556,0.15987,0.17832,2.5223,0.16918,0.2051,2.5864,0.17267,0.23519,2.5744,0.21326,0.2642,2.5847,0.22488,0.29634,2.5937,0.23862,0.37262,2.6088,0.27461,0.44539,2.6303,0.30129,0.54809,2.7414,0.32451
1197,15582,8.638925,44.68623,0.19826,2.5499,0.16141,0.27077,2.5138,0.2001,0.3223,2.5122,0.21735,0.37061,2.5307,0.23029,0.42755,2.4947,0.25385,0.51016,2.4766,0.2666,0.74729,2.4563,0.27604,1.0183,2.4399,0.27958,1.4623,2.4567,0.28127
1198,11809,8.640766,45.53769,0.14328,2.5406,0.16045,0.17935,2.5107,0.16957,0.2064,2.5735,0.17392,0.23646,2.5634,0.21333,0.26547,2.5737,0.22499,0.29761,2.5828,0.23853,0.37349,2.6008,0.27628,0.44404,2.6087,0.30393,0.54451,2.7325,0.32379
1199,15804,8.642902,44.63631,0.19907,2.5547,0.16109,0.2701,2.5181,0.19974,0.3203,2.5163,0.21699,0.3674,2.5336,0.23839,0.42008,2.5097,0.25402,0.49883,2.482,0.26888,0.71821,2.4768,0.27843,0.96688,2.4595,0.28251,1.3806,2.4701,0.28389
1200,12031,8.644766,45.48777,0.14468,2.5317,0.1608,0.18092,2.5038,0.16973,0.2085,2.5627,0.17443,0.23863,2.5561,0.21319,0.26774,2.5662,0.22543,0.3,2.575,0.23871,0.37271,2.6166,0.27665,0.4422,2.6229,0.30426,0.54182,2.7403,0.32729
1201,16026,8.646833,44.5864,0.19902,2.5601,0.16062,0.26723,2.5265,0.19872,0.3155,2.5205,0.21596,0.3607,2.5373,0.22876,0.40655,2.536,0.25321,0.47956,2.4894,0.27135,0.672,2.4974,0.28337,0.88782,2.4903,0.288,1.2498,2.4804,0.2913
1202,12253,8.6489,45.43785,0.14657,2.5251,0.16101,0.18308,2.4996,0.16968,0.2113,2.5547,0.17526,0.2417,2.5521,0.21317,0.271,2.5623,0.22617,0.3022,2.582,0.23909,0.37356,2.6344,0.27959,0.4427,2.6698,0.30582,0.5417,2.7667,0.33401
1203,16248,8.650853,44.53648,0.19829,2.5651,0.16011,0.26311,2.537,0.19711,0.3091,2.5256,0.21444,0.35228,2.5413,0.22764,0.39391,2.5533,0.25133,0.45804,2.4982,0.27363,0.62231,2.5426,0.28659,0.80011,2.5495,0.29424,1.1049,2.514,0.30898
1204,12475,8.652942,45.38794,0.14903,2.5181,0.16105,0.18594,2.496,0.16943,0.2152,2.5443,0.17617,0.24584,2.55,0.21318,0.27541,2.561,0.22663,0.30553,2.5931,0.23961,0.37679,2.6492,0.28863,0.44678,2.6941,0.30951,0.54576,2.7928,0.33511
1205,16470,8.654848,44.48656,0.19708,2.57,0.15959,0.25862,2.5478,0.19507,0.3026,2.5289,0.21267,0.34379,2.5459,0.22646,0.38356,2.5616,0.2494,0.43858,2.5274,0.2737,0.5846,2.5683,0.29063,0.73914,2.5725,0.30847,0.97655,2.6307,0.32193
1206,8702,8.654848,46.2394,0.16447,2.5795,0.15031,0.2161,2.5445,0.17915,0.2562,2.555,0.1947,0.29375,2.5678,0.21318,0.33203,2.5708,0.22707,0.37563,2.5776,0.24084,0.49859,2.6024,0.27978,0.6052,2.6763,0.30192,0.77066,2.8,0.31928
1207,12697,8.656959,45.33802,0.15198,2.5118,0.16093,0.18951,2.4933,0.16894,0.2201,2.5355,0.17686,0.25112,2.5496,0.21315,0.28068,2.566,0.22641,0.31099,2.6008,0.239,0.38291,2.6605,0.28907,0.45537,2.7079,0.30892,0.55534,2.8154,0.33365
1208,16692,8.658841,44.43664,0.19559,2.574,0.15912,0.25436,2.5575,0.19282,0.2967,2.5337,0.21059,0.33632,2.5539,0.2249,0.37459,2.5698,0.24736,0.42313,2.5546,0.27369,0.5601,2.5819,0.2946,0.68759,2.6511,0.31592,0.8802,2.7616,0.33101
1209,8924,8.658932,46.18949,0.1627,2.5759,0.15099,0.21243,2.54,0.1803,0.2515,2.568,0.1941,0.28821,2.5708,0.21278,0.32654,2.5708,0.22641,0.369,2.5825,0.24005,0.4851,2.6036,0.28087,0.58758,2.6909,0.30216,0.74355,2.8099,0.32015
1210,12919,8.661018,45.2881,0.15532,2.508,0.16098,0.19369,2.4932,0.1912,0.2259,2.5331,0.17703,0.25755,2.552,0.21308,0.28774,2.5696,0.22613,0.31868,2.6055,0.2381,0.39212,2.668,0.28792,0.4689,2.7179,0.30643,0.57116,2.8325,0.32988
1211,16914,8.66281,44.38672,0.19392,2.5772,0.15872,0.25062,2.5653,0.1906,0.2918,2.5431,0.2081,0.33038,2.5598,0.22317,0.36762,2.5761,0.24555,0.41198,2.5736,0.27327,0.54031,2.6086,0.29744,0.65426,2.7135,0.32119,0.82253,2.8567,0.33861
1212,9146,8.663105,46.13956,0.16028,2.5744,0.15172,0.20764,2.5427,0.1811,0.2458,2.5762,0.19304,0.28273,2.5709,0.21129,0.31994,2.5722,0.22581,0.36116,2.5814,0.23902,0.46988,2.6163,0.28019,0.56907,2.7019,0.30278,0.71479,2.8128,0.32232
1213,13141,8.665146,45.23817,0.15902,2.5075,0.16113,0.19848,2.4958,0.19172,0.2328,2.5356,0.2019,0.26523,2.557,0.21331,0.29657,2.5729,0.22586,0.32869,2.6074,0.23738,0.40578,2.6618,0.28701,0.48769,2.7314,0.30306,0.59371,2.8466,0.32475
1214,17136,8.666822,44.3368,0.19217,2.5794,0.15836,0.2475,2.5422,0.19874,0.2881,2.5485,0.2063,0.32612,2.5626,0.22163,0.36282,2.5793,0.24437,0.40473,2.5863,0.27308,0.52855,2.6263,0.29971,0.6376,2.7469,0.32483,0.79841,2.8888,0.34449
1215,9368,8.667231,46.08964,0.15748,2.5746,0.1525,0.20213,2.5503,0.16075,0.2396,2.5461,0.18922,0.27678,2.5716,0.20944,0.31235,2.5763,0.22496,0.35122,2.597,0.23745,0.45387,2.6252,0.28062,0.54981,2.7038,0.30268,0.68609,2.8139,0.32304
1216,13363,8.669088,45.18826,0.1632,2.509,0.16111,0.20495,2.4878,0.19237,0.2408,2.5407,0.20237,0.27433,2.5634,0.21392,0.30672,2.5803,0.22563,0.34115,2.6065,0.23678,0.42621,2.6517,0.28434,0.51236,2.7236,0.30129,0.62842,2.8363,0.32003
1217,9590,8.671354,46.03972,0.15432,2.5777,0.15331,0.1969,2.5553,0.16189,0.2338,2.5318,0.19022,0.26901,2.5823,0.2078,0.30304,2.5994,0.22306,0.34074,2.6154,0.23634,0.43728,2.6244,0.28329,0.52995,2.707,0.30318,0.65747,2.8237,0.32324
1218,13585,8.673166,45.13834,0.16799,2.5108,0.16087,0.21282,2.4836,0.19217,0.2501,2.5465,0.20372,0.28507,2.5645,0.21504,0.3188,2.5811,0.22615,0.35618,2.5979,0.23686,0.45196,2.64,0.28103,0.54397,2.7011,0.29622,0.67731,2.7935,0.31662
1219,9812,8.67543,45.9898,0.15162,2.5734,0.15461,0.19199,2.5602,0.16333,0.2265,2.535,0.19165,0.26064,2.5964,0.20724,0.29363,2.6116,0.22295,0.33018,2.6249,0.23642,0.42078,2.6309,0.28438,0.51021,2.715,0.30322,0.62963,2.8449,0.32445
1220,13807,8.677151,45.08842,0.17331,2.5134,0.16071,0.22177,2.4864,0.19123,0.2609,2.5503,0.20493,0.29755,2.552,0.21712,0.33294,2.5711,0.22785,0.37214,2.588,0.24718,0.48394,2.6057,0.27867,0.58382,2.6639,0.29466,0.74317,2.7239,0.31209
1221,10034,8.679482,45.93988,0.14997,2.5641,0.15627,0.18902,2.5427,0.16567,0.2212,2.52,0.19408,0.25374,2.5972,0.20696,0.28516,2.6181,0.22203,0.32017,2.6358,0.23556,0.40534,2.6519,0.28402,0.49177,2.7212,0.30243,0.60412,2.867,0.32487
1222,14029,8.68118,45.0385,0.17894,2.5159,0.16062,0.23161,2.494,0.18977,0.2729,2.5415,0.20699,0.31164,2.5407,0.22028,0.34901,2.5598,0.23152,0.39041,2.5767,0.25144,0.51936,2.5826,0.27713,0.63958,2.6102,0.29185,0.83428,2.6338,0.29995
1223,10256,8.68351,45.88997,0.14845,2.5697,0.15711,0.18586,2.5526,0.16675,0.2161,2.5251,0.19512,0.24809,2.6023,0.20647,0.27895,2.6104,0.22219,0.31315,2.6284,0.23619,0.3943,2.6594,0.27772,0.477,2.7191,0.30542,0.58578,2.8693,0.32824
1224,14251,8.685183,44.98858,0.18461,2.5193,0.16068,0.24209,2.5241,0.19646,0.2859,2.5202,0.21014,0.32703,2.53,0.22385,0.3667,2.5488,0.23451,0.41484,2.5441,0.25807,0.56032,2.5691,0.27812,0.71037,2.5731,0.288,0.95578,2.5734,0.29474
1225,10478,8.687671,45.84004,0.14601,2.5934,0.15747,0.18288,2.5621,0.16708,0.2119,2.5262,0.19535,0.24333,2.6024,0.20597,0.2737,2.6101,0.22193,0.30735,2.6181,0.23707,0.38721,2.646,0.27866,0.46658,2.7055,0.30772,0.57311,2.8479,0.32919
1226,14473,8.689162,44.93866,0.19007,2.5241,0.1609,0.25289,2.5282,0.19786,0.2995,2.5009,0.21382,0.34318,2.524,0.22657,0.38535,2.5413,0.24602,0.4465,2.4961,0.26789,0.60994,2.5562,0.27738,0.79402,2.5529,0.28144,1.1117,2.5054,0.29028
1227,10700,8.691717,45.79013,0.14404,2.5944,0.15769,0.18056,2.558,0.16709,0.2086,2.5253,0.19573,0.23965,2.6008,0.20665,0.26962,2.6087,0.22197,0.30282,2.6156,0.23736,0.38162,2.6304,0.27976,0.45855,2.6829,0.30768,0.56351,2.8227,0.33028
1228,14695,8.693209,44.88874,0.19515,2.5289,0.1612,0.2635,2.513,0.20035,0.3129,2.5032,0.21636,0.35916,2.5253,0.22815,0.40576,2.5296,0.25045,0.48026,2.4833,0.2667,0.67852,2.4981,0.27643,0.90345,2.4863,0.2785,1.2806,2.4781,0.28298
1229,10922,8.695716,45.74021,0.14269,2.5914,0.15768,0.17898,2.5529,0.16712,0.2064,2.5219,0.1968,0.23711,2.5978,0.20798,0.26677,2.6057,0.22259,0.29962,2.6127,0.23774,0.3776,2.6243,0.27951,0.45292,2.6636,0.30543,0.55709,2.7946,0.3274
1230,14917,8.697162,44.83882,0.19963,2.5331,0.18362,0.27317,2.4989,0.20241,0.325,2.505,0.21805,0.37355,2.5258,0.23004,0.43171,2.4894,0.2517,0.51235,2.4822,0.26318,0.74278,2.4686,0.27382,1.0023,2.4536,0.27768,1.4307,2.4643,0.28027
1231,11144,8.699736,45.69029,0.14213,2.583,0.15795,0.17826,2.5451,0.16753,0.2053,2.5158,0.19797,0.23573,2.5932,0.20964,0.26513,2.6016,0.22325,0.2977,2.609,0.23803,0.37498,2.6215,0.27823,0.44925,2.6561,0.29729,0.55305,2.766,0.31944
1232,15139,8.701067,44.7889,0.20485,2.5249,0.18397,0.281,2.4883,0.20391,0.3346,2.5062,0.21911,0.38473,2.5262,0.24021,0.45261,2.4584,0.25183,0.53774,2.4753,0.26183,0.79171,2.4501,0.27152,1.0831,2.432,0.2753,1.5391,2.4531,0.27968
1233,11366,8.703732,45.64037,0.14245,2.5691,0.1588,0.1785,2.5342,0.1682,0.2054,2.5064,0.19908,0.23569,2.5856,0.2108,0.26488,2.595,0.22382,0.29724,2.6032,0.23784,0.374,2.6171,0.2748,0.44774,2.6411,0.30177,0.55136,2.7544,0.32458
1234,15361,8.705062,44.73898,0.20895,2.5211,0.18387,0.28613,2.4829,0.20484,0.3404,2.5086,0.21987,0.39128,2.527,0.2426,0.46467,2.4464,0.25157,0.5518,2.4693,0.26174,0.82049,2.4334,0.2714,1.1222,2.4295,0.27457,1.5897,2.4496,0.27987
1235,11588,8.707882,45.59044,0.14347,2.5549,0.15952,0.17955,2.5235,0.16872,0.2067,2.4947,0.19985,0.23687,2.5771,0.21105,0.26598,2.5871,0.22397,0.29823,2.5959,0.23778,0.37477,2.6107,0.27626,0.44863,2.6084,0.30357,0.55054,2.7348,0.32335
1236,15583,8.709079,44.68906,0.21139,2.5218,0.18358,0.28805,2.486,0.20491,0.342,2.5112,0.22014,0.39249,2.5291,0.24336,0.4659,2.448,0.26041,0.55221,2.472,0.26256,0.81795,2.438,0.27268,1.1171,2.4313,0.27619,1.5819,2.451,0.28074
1237,11810,8.711897,45.54052,0.14495,2.5453,0.16003,0.18118,2.5164,0.16901,0.2088,2.5752,0.17213,0.23897,2.5709,0.21116,0.26811,2.581,0.22454,0.30039,2.5899,0.23807,0.37575,2.6136,0.2764,0.44724,2.6201,0.30358,0.54815,2.741,0.32664
1238,15805,8.712979,44.63914,0.21207,2.5271,0.18308,0.28679,2.4915,0.2045,0.3393,2.516,0.21981,0.38857,2.5325,0.2427,0.45683,2.4585,0.2617,0.53971,2.4832,0.26412,0.78677,2.4599,0.27557,1.0692,2.4377,0.28012,1.5163,2.4581,0.28251
1239,12032,8.715886,45.4906,0.14692,2.5374,0.1604,0.18337,2.5115,0.16913,0.2116,2.5667,0.17327,0.24195,2.567,0.21147,0.2712,2.5773,0.22525,0.30361,2.5865,0.23863,0.37637,2.6306,0.27891,0.44737,2.662,0.30528,0.54762,2.7637,0.33313
1240,16027,8.716924,44.58922,0.21117,2.5359,0.18242,0.28292,2.4997,0.20354,0.3334,2.5204,0.21893,0.38065,2.5367,0.2406,0.44031,2.487,0.26222,0.51785,2.4938,0.26697,0.7392,2.4837,0.2791,0.98621,2.4723,0.28391,1.3959,2.4753,0.28596
1241,12254,8.719943,45.44068,0.14943,2.5289,0.16062,0.18625,2.5064,0.16905,0.2155,2.5548,0.17459,0.24598,2.5635,0.21184,0.27544,2.5748,0.22549,0.30685,2.5951,0.23886,0.37904,2.6462,0.28089,0.45052,2.686,0.30891,0.55052,2.7868,0.33471
1242,16249,8.720843,44.5393,0.20909,2.5467,0.18165,0.27737,2.5129,0.20184,0.3254,2.5254,0.21774,0.37039,2.541,0.23866,0.42047,2.5201,0.26167,0.49177,2.501,0.26983,0.6825,2.5037,0.28437,0.89347,2.4974,0.29003,1.2458,2.4843,0.29411
