,,,,,"TR = 30",,,"TR = 50",,,"TR = 72",,,"TR = 101",,,"TR = 140",,,"TR = 201",,,"TR = 475",,,"TR = 975",,,"TR = 2475",
"OBJECTID","ID","LON","LAT","T30ag","T30F0","T30Tc","T50ag","T50F0","T50Tc","T72ag","T72F0","T72Tc","T101ag","T101F0","T101Tc","T140ag","T140F0","T140Tc","T201ag","T201F0","T201Tc","T475ag","T475F0","T475Tc","T975ag","T975F0","T975Tc","T2475ag","T2475F0","T2475Tc"
20,14001,6.708612,44.94316,0.30888,2.4435,0.19746,0.38887,2.5219,0.212,0.4643,2.4883,0.23025,0.53953,2.5039,0.23507,0.61643,2.5179,0.24802,0.72567,2.4866,0.2568,1.0328,2.4631,0.26918,1.3583,2.4523,0.27832,1.8596,2.4553,0.29073
21,14223,6.714194,44.89333,0.3069,2.4465,0.19701,0.38624,2.5249,0.21163,0.4604,2.4927,0.23016,0.53556,2.505,0.23498,0.61103,2.5215,0.24828,0.7206,2.4865,0.25717,1.027,2.4626,0.26967,1.353,2.4493,0.27883,1.8544,2.4535,0.29099
22,14445,6.7198,44.84349,0.30455,2.4503,0.19643,0.38334,2.5271,0.21114,0.4561,2.497,0.22157,0.53131,2.5055,0.23528,0.60531,2.5247,0.24859,0.71526,2.4859,0.25759,1.0208,2.462,0.2702,1.3472,2.4465,0.27948,1.8484,2.4518,0.29142
23,9785,6.742642,45.8981,0.31483,2.3717,0.20039,0.40916,2.4149,0.22143,0.5,2.3738,0.24144,0.58506,2.4404,0.24871,0.68996,2.4035,0.25842,0.81444,2.4,0.26251,1.1901,2.3724,0.27453,1.5871,2.3444,0.28314,2.2806,2.2569,0.30027
24,12670,6.745231,45.24619,0.32277,2.4364,0.19807,0.41236,2.4858,0.215,0.4955,2.4569,0.23158,0.57346,2.4865,0.23595,0.66386,2.4797,0.24792,0.77318,2.4783,0.25534,1.0924,2.4648,0.26801,1.4143,2.4737,0.2769,1.9104,2.479,0.2913
25,10007,6.748225,45.84826,0.30647,2.3926,0.199,0.39405,2.4482,0.22027,0.479,2.393,0.24278,0.56091,2.4445,0.2487,0.65463,2.4581,0.25712,0.7743,2.4429,0.26201,1.1414,2.3868,0.2736,1.5296,2.3518,0.2821,2.2107,2.2686,0.29531
26,12892,6.75084,45.19635,0.32774,2.4367,0.19858,0.41941,2.4807,0.21479,0.5025,2.4604,0.23127,0.58027,2.4897,0.23613,0.67245,2.4795,0.24783,0.78132,2.4827,0.25502,1.1017,2.4684,0.26801,1.4233,2.478,0.27683,1.9181,2.4839,0.29158
27,15777,6.753309,44.54443,0.28622,2.4642,0.19229,0.36483,2.5203,0.20813,0.4304,2.5134,0.2207,0.50856,2.4887,0.23691,0.58405,2.5042,0.24988,0.69387,2.4678,0.26035,1.0111,2.4307,0.27537,1.3559,2.4086,0.28666,1.8926,2.4215,0.2973
28,10229,6.754006,45.79842,0.2989,2.4126,0.19783,0.38264,2.4662,0.21884,0.4587,2.4313,0.24169,0.53673,2.4407,0.24615,0.61655,2.4873,0.25739,0.74393,2.4411,0.26222,1.0776,2.4136,0.27272,1.4543,2.3541,0.28196,2.1041,2.2676,0.29511
29,13114,6.756444,45.14651,0.33074,2.439,0.19873,0.42299,2.4803,0.21476,0.5054,2.4651,0.23109,0.58257,2.4942,0.23627,0.67465,2.4833,0.2479,0.7826,2.4881,0.25508,1.1012,2.4729,0.26832,1.4215,2.4813,0.27719,1.9154,2.4854,0.29186
30,15999,6.758795,44.49459,0.28101,2.4534,0.19056,0.35964,2.5116,0.20737,0.4225,2.5213,0.22008,0.50092,2.485,0.23717,0.57656,2.5007,0.24945,0.68372,2.4692,0.26081,0.9983,2.4307,0.27673,1.3459,2.4015,0.28841,1.8807,2.4286,0.29956
31,10451,6.759637,45.74857,0.29325,2.4294,0.19615,0.37398,2.4817,0.21778,0.4431,2.4651,0.23997,0.51759,2.4654,0.246,0.58951,2.4935,0.25895,0.69426,2.489,0.26532,1.0295,2.4115,0.2726,1.3844,2.3463,0.28201,1.9672,2.2925,0.29563
32,13336,6.762044,45.09666,0.33219,2.4429,0.19862,0.42396,2.4834,0.21471,0.5055,2.4704,0.231,0.58185,2.4993,0.23637,0.67284,2.4891,0.24806,0.7799,2.4931,0.25537,1.0959,2.4766,0.26878,1.4149,2.4831,0.27772,1.9087,2.4843,0.29211
33,16221,6.764277,44.44475,0.27136,2.4758,0.17835,0.35119,2.4962,0.20646,0.4107,2.5185,0.21981,0.48754,2.4714,0.23844,0.5617,2.4924,0.24336,0.65969,2.4793,0.25898,0.95496,2.4433,0.27877,1.2777,2.4339,0.29,1.801,2.4605,0.30503
34,10673,6.765321,45.69873,0.28979,2.4317,0.19933,0.36859,2.4963,0.21693,0.4335,2.4916,0.23842,0.50605,2.4868,0.24496,0.57605,2.5116,0.25678,0.6723,2.4971,0.26596,0.95339,2.5165,0.27461,1.2577,2.5136,0.2813,1.7385,2.5165,0.29428
35,13558,6.767727,45.04682,0.33255,2.4476,0.19838,0.42324,2.4888,0.21467,0.504,2.4754,0.23086,0.5796,2.504,0.23644,0.6692,2.4951,0.24825,0.77562,2.4971,0.25576,1.0893,2.4791,0.26926,1.4075,2.4833,0.27827,1.9018,2.4822,0.29233
36,16443,6.769813,44.39491,0.26075,2.5015,0.17718,0.33862,2.5139,0.20422,0.3934,2.5485,0.21815,0.46446,2.5051,0.23743,0.5359,2.5221,0.24185,0.62049,2.5346,0.25948,0.89546,2.4994,0.28176,1.195,2.4981,0.29439,1.7109,2.4908,0.30963
37,10895,6.77103,45.64889,0.28855,2.4426,0.19879,0.36641,2.5104,0.21619,0.4298,2.5104,0.23706,0.5021,2.5049,0.24349,0.57438,2.519,0.25466,0.67512,2.4924,0.26387,0.96695,2.4667,0.27575,1.2794,2.4709,0.28187,1.764,2.4901,0.29323
38,13780,6.773202,44.99698,0.33212,2.4519,0.19818,0.42156,2.4947,0.21464,0.5017,2.4795,0.23068,0.5768,2.5076,0.2365,0.6651,2.4999,0.24847,0.77116,2.4994,0.2562,1.0831,2.4801,0.26976,1.4008,2.4816,0.27893,1.8959,2.4799,0.29254
39,16665,6.77546,44.34505,0.24964,2.5311,0.17557,0.32542,2.5312,0.20096,0.3787,2.5677,0.21528,0.44104,2.5453,0.23573,0.51006,2.553,0.24145,0.58653,2.5783,0.25975,0.83836,2.5579,0.2834,1.1254,2.5316,0.29883,1.6214,2.5275,0.31228
40,14002,6.778904,44.94712,0.33094,2.4557,0.19794,0.41898,2.5012,0.21444,0.4988,2.4822,0.23076,0.57355,2.5098,0.23654,0.6606,2.5036,0.24872,0.7666,2.5,0.2567,1.0773,2.4798,0.2703,1.3953,2.4783,0.27963,1.8909,2.4773,0.29274
41,14224,6.784428,44.89729,0.32908,2.4591,0.19752,0.41554,2.5082,0.21426,0.4952,2.4842,0.23088,0.56977,2.5112,0.23657,0.65559,2.5066,0.249,0.76173,2.4994,0.25725,1.0715,2.4784,0.27089,1.3901,2.4743,0.28038,1.886,2.4746,0.29304
42,14446,6.789889,44.84744,0.32689,2.4612,0.19689,0.41179,2.5149,0.21408,0.4914,2.4854,0.23105,0.56598,2.5115,0.2366,0.65067,2.5085,0.24932,0.75712,2.4978,0.25786,1.0663,2.4761,0.27159,1.3856,2.4704,0.28119,1.8818,2.472,0.29346
43,14668,6.79552,44.7976,0.32451,2.462,0.19618,0.40798,2.5206,0.21386,0.4877,2.4851,0.23123,0.56239,2.5108,0.23664,0.64615,2.5092,0.24969,0.75306,2.495,0.25852,1.0623,2.4728,0.27239,1.3824,2.4661,0.28214,1.8793,2.4694,0.29403
44,9786,6.81411,45.90204,0.3299,2.3719,0.20395,0.43226,2.3928,0.23331,0.5234,2.3895,0.24031,0.6116,2.4379,0.25075,0.72024,2.4024,0.25892,0.84927,2.3974,0.26411,1.2275,2.3702,0.27671,1.6207,2.3513,0.2856,2.3271,2.2581,0.30269
45,15556,6.817649,44.59821,0.31425,2.4438,0.19821,0.39571,2.5228,0.21237,0.4764,2.4747,0.23144,0.55369,2.495,0.23672,0.63843,2.4928,0.25125,0.75062,2.4689,0.26088,1.0765,2.4387,0.27609,1.4139,2.432,0.28693,1.9374,2.4476,0.2973
46,10008,6.81972,45.8522,0.32088,2.3874,0.20293,0.41456,2.4308,0.22265,0.5029,2.3888,0.24334,0.58561,2.4605,0.25039,0.68788,2.4448,0.25812,0.80817,2.4459,0.26221,1.1797,2.3937,0.27561,1.5794,2.3485,0.2839,2.2744,2.2507,0.30106
47,12893,6.821589,45.20028,0.34934,2.4345,0.20179,0.45424,2.4421,0.21606,0.5404,2.4571,0.2306,0.6273,2.4717,0.24178,0.72787,2.4571,0.24759,0.84666,2.465,0.2542,1.1809,2.4679,0.26716,1.5128,2.4912,0.27483,2.0068,2.5142,0.29039
48,15778,6.823085,44.54837,0.31081,2.4316,0.1979,0.39269,2.5191,0.21157,0.4732,2.4726,0.2312,0.55186,2.4894,0.2366,0.63789,2.486,0.25153,0.75273,2.4597,0.26119,1.0895,2.425,0.27671,1.4407,2.416,0.28785,1.987,2.4358,0.29861
49,10230,6.825326,45.80235,0.31271,2.4063,0.20158,0.39864,2.4683,0.22181,0.4831,2.415,0.24335,0.56281,2.4543,0.25132,0.65383,2.4713,0.2595,0.78058,2.4509,0.26197,1.1363,2.3978,0.27458,1.5318,2.3353,0.28307,2.196,2.2602,0.29708
50,13115,6.827079,45.15044,0.35305,2.4381,0.20164,0.45869,2.4418,0.21614,0.5443,2.4613,0.23042,0.63152,2.4744,0.24183,0.73122,2.4616,0.24755,0.84953,2.4691,0.25436,1.1815,2.4726,0.26743,1.5119,2.4948,0.27517,2.0045,2.5161,0.29075
51,16000,6.828601,44.49852,0.30546,2.4245,0.19606,0.38873,2.5083,0.21088,0.4686,2.4698,0.23089,0.54838,2.4834,0.23639,0.63493,2.4804,0.25182,0.75224,2.4513,0.26147,1.0986,2.4128,0.27732,1.4641,2.3999,0.28902,2.0274,2.4363,0.30216
52,10452,6.830985,45.75251,0.30638,2.4234,0.19972,0.38942,2.4845,0.22045,0.4672,2.444,0.24216,0.54413,2.4652,0.24577,0.62488,2.4886,0.25904,0.7363,2.4899,0.2648,1.0919,2.4118,0.27294,1.4714,2.3404,0.28245,2.051,2.3356,0.29534
53,13337,6.832592,45.10059,0.35467,2.4423,0.20147,0.45962,2.4455,0.21623,0.5441,2.4671,0.23042,0.63007,2.4809,0.24194,0.7286,2.4679,0.24776,0.84499,2.4762,0.25473,1.1739,2.4766,0.26802,1.5021,2.4965,0.27581,1.9936,2.514,0.29137
54,16222,6.834114,44.44867,0.29611,2.4441,0.19441,0.38065,2.4987,0.21009,0.4581,2.4597,0.23128,0.53876,2.4662,0.23723,0.62252,2.4709,0.25193,0.73936,2.4425,0.26181,1.0767,2.415,0.27774,1.435,2.416,0.28907,2.0107,2.4573,0.30473
55,10674,6.836639,45.70265,0.30224,2.4378,0.19786,0.38323,2.4994,0.21922,0.4564,2.4689,0.24066,0.53142,2.4867,0.24452,0.6051,2.507,0.25906,0.71323,2.4902,0.26613,1.0212,2.5005,0.27303,1.3509,2.4917,0.28154,1.8625,2.5055,0.29377
56,13559,6.83813,45.05074,0.35495,2.447,0.20138,0.45851,2.4512,0.21628,0.5419,2.4726,0.23052,0.62592,2.4887,0.24208,0.72339,2.4742,0.2481,0.83756,2.4836,0.25517,1.1638,2.4799,0.26866,1.4899,2.4968,0.27654,1.9811,2.5112,0.29192
57,16444,6.839593,44.39882,0.28528,2.4678,0.19282,0.36822,2.5178,0.20824,0.4382,2.5017,0.22086,0.517,2.4947,0.23695,0.59302,2.5149,0.25119,0.70494,2.4813,0.26208,1.0228,2.4703,0.27899,1.3757,2.4641,0.29223,1.9631,2.472,0.30875
58,10896,6.842174,45.65281,0.3004,2.4487,0.19659,0.38019,2.5121,0.2182,0.451,2.488,0.2391,0.52524,2.5035,0.24304,0.6002,2.5162,0.25656,0.71234,2.473,0.26491,1.0213,2.4585,0.27446,1.3492,2.4625,0.28211,1.8525,2.4834,0.29389
59,13781,6.843721,45.00089,0.35442,2.4514,0.20122,0.45641,2.4573,0.2163,0.5388,2.4774,0.23067,0.62085,2.496,0.24226,0.71746,2.4793,0.2485,0.82942,2.4903,0.25566,1.1533,2.4829,0.2693,1.4774,2.4966,0.27736,1.9682,2.5083,0.2925
60,16666,6.844983,44.34898,0.27416,2.4995,0.19001,0.3546,2.5398,0.2059,0.4166,2.5511,0.21961,0.49331,2.5259,0.23655,0.56732,2.5466,0.24974,0.6675,2.5334,0.26206,0.96876,2.5209,0.28092,1.3126,2.5005,0.29584,1.9011,2.5012,0.31035
61,11118,6.847761,45.60296,0.30101,2.4548,0.1961,0.38036,2.5211,0.21751,0.4522,2.4921,0.23707,0.5298,2.4961,0.24117,0.60635,2.5069,0.25469,0.71852,2.4676,0.26294,1.03,2.4415,0.27434,1.3581,2.4458,0.28205,1.861,2.4585,0.29342
62,14003,6.849251,44.95105,0.35312,2.4554,0.20104,0.45345,2.4635,0.21629,0.5351,2.481,0.23087,0.61518,2.5023,0.23803,0.71113,2.4831,0.24896,0.82101,2.4957,0.25619,1.1427,2.4849,0.26999,1.4647,2.4959,0.27828,1.955,2.5053,0.29317
63,16888,6.850482,44.29914,0.26426,2.513,0.17742,0.34235,2.5456,0.20294,0.3973,2.5863,0.21778,0.47019,2.5497,0.2349,0.54174,2.5738,0.24338,0.62917,2.5866,0.26,0.91555,2.5573,0.28336,1.2399,2.5312,0.29809,1.811,2.5197,0.31295
64,14225,6.854661,44.9012,0.35131,2.4587,0.2007,0.45003,2.4694,0.21628,0.5312,2.4833,0.2311,0.60941,2.5074,0.2383,0.70492,2.4866,0.24935,0.81298,2.4997,0.25678,1.1329,2.4858,0.27077,1.4531,2.4955,0.27919,1.9429,2.5022,0.29398
65,17110,6.855977,44.24928,0.25285,2.5307,0.17495,0.32908,2.5444,0.19906,0.3827,2.5842,0.21479,0.44718,2.5625,0.23347,0.51667,2.5795,0.2412,0.59365,2.6106,0.26,0.85775,2.5707,0.28744,1.1563,2.547,0.30048,1.6864,2.5312,0.31651
66,14447,6.860181,44.85136,0.34923,2.4608,0.20039,0.44651,2.4743,0.21625,0.5273,2.4848,0.23131,0.60398,2.5112,0.23859,0.69926,2.4892,0.24976,0.80583,2.5028,0.25739,1.1245,2.4857,0.27167,1.4433,2.4943,0.28027,1.9328,2.499,0.29466
67,14669,6.865697,44.8015,0.34694,2.4618,0.20001,0.44293,2.4784,0.21618,0.5236,2.4847,0.23153,0.59914,2.5126,0.2389,0.69411,2.4906,0.2502,0.79962,2.5047,0.25799,1.1176,2.4845,0.27267,1.4355,2.4911,0.28159,1.9252,2.4958,0.29541
68,15113,6.876573,44.70181,0.34247,2.4611,0.1991,0.43659,2.4836,0.21595,0.5175,2.4821,0.23197,0.59333,2.5072,0.23934,0.68722,2.4885,0.25118,0.79355,2.4981,0.25929,1.1125,2.4762,0.27496,1.4326,2.4791,0.28462,1.9259,2.4877,0.29735
